jobTitle,companyName,roleType,jobType,location,isRemote,salaryRange,equity,companyBatch,applyUrl,founders,companyWebsite
"Engineering Manager, Storefront",DoorDash,Engineering,Full-time,"San Francisco, CA, US / Seattle, WA, US",False,Not specified,Not specified,S13,https://www.workatastartup.com/companies/doordash,"Andy Fang, Stanley Tang, Tony Xu",http://doordash.com
"Engineering Manager, Core Platform   ",DoorDash,Engineering,Full-time,United States / Remote (US),True,Not specified,Not specified,S13,https://www.workatastartup.com/companies/doordash,"Andy Fang, Stanley Tang, Tony Xu",http://doordash.com
"Staff iOS Engineer, Storefront",DoorDash,Engineering,Full-time,"San Francisco, CA, US / Seattle, WA, US",False,Not specified,Not specified,S13,https://www.workatastartup.com/companies/doordash,"Andy Fang, Stanley Tang, Tony Xu",http://doordash.com
"Software Engineer, Android",DoorDash,Engineering,Full-time,"901 Market, SF, CA 94105",False,Not specified,Not specified,S13,https://www.workatastartup.com/companies/doordash,"Andy Fang, Stanley Tang, Tony Xu",http://doordash.com
"Software Engineer, Core Platform",DoorDash,Engineering,Full-time,100% Remote / Remote,True,Not specified,Not specified,S13,https://www.workatastartup.com/companies/doordash,"Andy Fang, Stanley Tang, Tony Xu",http://doordash.com
"Software Engineer, Distributed Databases",DoorDash,Engineering,Full-time,Remote,True,Not specified,Not specified,S13,https://www.workatastartup.com/companies/doordash,"Andy Fang, Stanley Tang, Tony Xu",http://doordash.com
"Software Engineer, iOS",DoorDash,Engineering,Full-time,"901 Market Floor 6, SF, CA 94105",False,Not specified,Not specified,S13,https://www.workatastartup.com/companies/doordash,"Andy Fang, Stanley Tang, Tony Xu",http://doordash.com
"Software Engineer, Site Reliability (SRE)",DoorDash,Engineering,Full-time,United States / Remote (US),True,Not specified,Not specified,S13,https://www.workatastartup.com/companies/doordash,"Andy Fang, Stanley Tang, Tony Xu",http://doordash.com
Backend Engineer,DoorDash,Engineering,Full-time,"901 Market Floor 6, SF, CA 94105",False,Not specified,Not specified,S13,https://www.workatastartup.com/companies/doordash,"Andy Fang, Stanley Tang, Tony Xu",http://doordash.com
React Native Developer,Groww,Engineering,Full-time,"Bengaluru, Karnataka",False,Not specified,Not specified,W18,https://www.workatastartup.com/companies/groww,"Ishan Bansal, Harsh Jain, Lalit Keshre, Neeraj Singh",https://groww.in
Software Developer ,Groww,Engineering,Full-time,"Bengaluru, Karnataka",False,Not specified,Not specified,W18,https://www.workatastartup.com/companies/groww,"Ishan Bansal, Harsh Jain, Lalit Keshre, Neeraj Singh",https://groww.in
Android Engineer,Instacart,Engineering,Full-time,"San francisco, CA",False,Not specified,Not specified,S12,https://www.workatastartup.com/companies/instacart,"Brandon Leonardo, Apoorva Mehta, Max Mullen",https://www.instacart.com
Senior Software Engineer,Instacart,Engineering,Full-time,"San francisco, CA / Remote",True,Not specified,Not specified,S12,https://www.workatastartup.com/companies/instacart,"Brandon Leonardo, Apoorva Mehta, Max Mullen",https://www.instacart.com
"Senior Software Engineer, Infrastructure",Instacart,Engineering,Full-time,"San francisco, CA",False,Not specified,Not specified,S12,https://www.workatastartup.com/companies/instacart,"Brandon Leonardo, Apoorva Mehta, Max Mullen",https://www.instacart.com
Senior iOS Engineer,Instacart,Engineering,Full-time,"San francisco, CA",False,Not specified,Not specified,S12,https://www.workatastartup.com/companies/instacart,"Brandon Leonardo, Apoorva Mehta, Max Mullen",https://www.instacart.com
"Senior Software Engineer, Customers, Front End",Instacart,Engineering,Full-time,"San francisco, CA",False,Not specified,Not specified,S12,https://www.workatastartup.com/companies/instacart,"Brandon Leonardo, Apoorva Mehta, Max Mullen",https://www.instacart.com
"Senior Software Engineer, Customers Back End",Instacart,Engineering,Full-time,"San francisco, CA",False,Not specified,Not specified,S12,https://www.workatastartup.com/companies/instacart,"Brandon Leonardo, Apoorva Mehta, Max Mullen",https://www.instacart.com
Senior Android Engineer,Instacart,Engineering,Full-time,"San francisco, CA / Remote",True,Not specified,Not specified,S12,https://www.workatastartup.com/companies/instacart,"Brandon Leonardo, Apoorva Mehta, Max Mullen",https://www.instacart.com
"Director, Office of the CEO, Founder in Residence Program",BillionToOne,Engineering,Full-time,"Menlo Park, CA, US",False,Not specified,Not specified,S17,https://www.workatastartup.com/companies/billiontoone,"Oguzhan Atay, David Tsao",https://www.billiontoone.com
"Senior Software Engineer, Prenatal",BillionToOne,Engineering,Full-time,"Menlo Park, CA, US",False,Not specified,Not specified,S17,https://www.workatastartup.com/companies/billiontoone,"Oguzhan Atay, David Tsao",https://www.billiontoone.com
Senior AI Engineer I,BillionToOne,Engineering,Full-time,"Menlo Park, CA",False,Not specified,Not specified,S17,https://www.workatastartup.com/companies/billiontoone,"Oguzhan Atay, David Tsao",https://www.billiontoone.com
"Senior Software Engineer, Digital Experiences (Prenatal)",BillionToOne,Engineering,Full-time,"Menlo Park, CA, US",False,Not specified,Not specified,S17,https://www.workatastartup.com/companies/billiontoone,"Oguzhan Atay, David Tsao",https://www.billiontoone.com
"Senior Software Engineer, Oncology",BillionToOne,Engineering,Full-time,"Menlo Park, CA, US",False,Not specified,Not specified,S17,https://www.workatastartup.com/companies/billiontoone,"Oguzhan Atay, David Tsao",https://www.billiontoone.com
"Senior Software Engineer, Frontend",BillionToOne,Engineering,Full-time,"Menlo Park, CA, US",False,Not specified,Not specified,S17,https://www.workatastartup.com/companies/billiontoone,"Oguzhan Atay, David Tsao",https://www.billiontoone.com
Engineering Manager,EquipmentShare,Engineering,Full-time,US / Remote (US),True,Not specified,Not specified,W15,https://www.workatastartup.com/companies/equipmentshare,"Jeff Lowe, William Schlacks, Jabbok Schlacks, Brad Siegler",https://www.equipmentshare.com
Product Designer,EquipmentShare,Engineering,Full-time,Remote / Remote (US),True,Not specified,Not specified,W15,https://www.workatastartup.com/companies/equipmentshare,"Jeff Lowe, William Schlacks, Jabbok Schlacks, Brad Siegler",https://www.equipmentshare.com
Mid-level Software Engineer,EquipmentShare,Engineering,Full-time,Remote (US),True,Not specified,Not specified,W15,https://www.workatastartup.com/companies/equipmentshare,"Jeff Lowe, William Schlacks, Jabbok Schlacks, Brad Siegler",https://www.equipmentshare.com
Staff Software Engineer - DevX,Amplitude,Engineering,Full-time,"San Francisco, CA, US / Remote (US)",True,Not specified,Not specified,W12,https://www.workatastartup.com/companies/amplitude,"Curtis Liu, Spenser Skates",https://amplitude.com
Senior Software Engineer; Analytics Compute Platform team,Amplitude,Engineering,Full-time,"San Francisco, CA, US",False,Not specified,Not specified,W12,https://www.workatastartup.com/companies/amplitude,"Curtis Liu, Spenser Skates",https://amplitude.com
Global Startup and Venture Program Lead,Amplitude,Engineering,Full-time,"San Francisco, CA, US",False,Not specified,Not specified,W12,https://www.workatastartup.com/companies/amplitude,"Curtis Liu, Spenser Skates",https://amplitude.com
"Senior Engineering Manager, Experiment",Amplitude,Engineering,Full-time,"San Francisco, CA, US",False,Not specified,Not specified,W12,https://www.workatastartup.com/companies/amplitude,"Curtis Liu, Spenser Skates",https://amplitude.com
"Engineering Manager, Guides & Surveys",Amplitude,Engineering,Full-time,"San Francisco, CA, US",False,Not specified,Not specified,W12,https://www.workatastartup.com/companies/amplitude,"Curtis Liu, Spenser Skates",https://amplitude.com
"Senior Software Engineer, Incubator",Checkr,Engineering,Full-time,"San Francisco, California, United States",False,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Senior Software Engineer (Python), Mortgage",Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Engineering Manager, Mortgage",Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Engineering Manager, Verifications",Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Senior Product Designer, Mortgage",Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Senior Software Engineer, Trust",Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Senior Staff Product Manager, Fraud Hiring Solutions",Checkr,Engineering,Full-time,"Denver, Colorado, United States / San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
Staff Data Engineer,Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Staff Product Designer, Growth",Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Staff Product Manager, Identity Risk Solutions",Checkr,Engineering,Full-time,"Denver, Colorado, United States; San Francisco, California, United States",False,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Engineering Manager, Mortgage",Checkr,Engineering,Full-time,"San Francisco, California, United States",False,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Engineering Manager, Verifications",Checkr,Engineering,Full-time,"San Francisco, California, United States",False,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Chief of Staff, Product",Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
Lead Brand Designer,Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
Product Finance & Strategy Manager,Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Senior Manager Data Science, Revenue & Growth",Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
"Senior Product Designer, Truework",Checkr,Engineering,Full-time,"San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
Senior Salesforce Developer - Service Cloud,Checkr,Engineering,Full-time,"Denver, Colorado, United States / San Francisco, California, United States / Remote (US)",True,Not specified,Not specified,S14,https://www.workatastartup.com/companies/checkr,"Jonathan Perichon, Daniel Yanisse",http://www.checkr.com
